Country,Year,Population,Pop %,Deaths from All Causes,Deaths from External Causes,ASDR from All Causes,ASDR from External Causes,Raw Ratio,% Deaths Caused by External Factors
Egypt,2011,83787634,0.040473968,493069,21027,836.3,26,0.042645147,0.031089322
El Salvador,2011,6055208,0.002924994,33162,6020,595.7,101.7,0.18153308,0.170723519
Estonia,2011,1339928,0.000647258,15204,1134,587.9,70.3,0.074585635,0.11957816
France,2011,63224445,0.030540833,536628,37229,370.7,36.1,0.069375806,0.097383329
Germany,2011,81779210,0.03950379,852328,32988,416.8,24,0.03870341,0.057581574
Guatemala,2011,15049280,0.007269618,72354,12599,687.3,98,0.174129972,0.142586934
Hungary,2011,9971727,0.004816885,128795,6719,669.5,45.6,0.052168174,0.06811053
Israel,2011,7765832,0.003751318,40668,1919,368.9,21.5,0.047186977,0.058281377
Italy,2011,59379462,0.028683498,594153,23693,364.4,21.8,0.039876934,0.059824369
Jamaica,2011,2752358,0.001329538,16926,2053,560.3,69.1,0.121292686,0.123326789
Japan,2011,126180000,0.060951778,1253066,94114,338.6,43.2,0.075106978,0.12758417
Kazakhstan,2011,16548776,0.007993956,144197,16990,970.9,100.7,0.11782492,0.1037182
Kyrgyzstan,2011,5514754,0.002663925,35941,3617,929.2,72.2,0.100637155,0.077701248
Latvia,2011,2059709,0.000994951,28550,1840,711,70.6,0.064448336,0.099296765
Lithuania,2011,3028115,0.001462744,41037,3720,711.4,97.5,0.090649901,0.137053697
Mexico,2011,120365271,0.058142949,576662,72175,571.4,60.8,0.125159972,0.10640532
Netherlands,2011,16693074,0.008063659,135741,5855,399.2,22.2,0.043133615,0.055611222
Moldova,2011,3559986,0.001719666,39249,3071,893.2,75.5,0.078244032,0.084527541
Russia,2011,142960908,0.069057866,1925720,199358,900.7,117.5,0.103523877,0.130454091
Singapore,2011,3789300,0.001830437,16887,784,361.3,17.9,0.046426245,0.049543316
South Africa,2011,52237272,0.025233433,514486,46560,1267.1,94.4,0.090498089,0.074500829
Spain,2011,46125154,0.022280949,387911,14233,364.4,19.5,0.036691406,0.053512623
Sweden,2011,9449213,0.004564482,89941,4598,379,30,0.051122402,0.079155673
Turkey,2011,74223629,0.035854035,312249,12690,463.5,17.7,0.040640643,0.038187702
Ukraine,2011,45525731,0.021991395,664588,42380,864.6,77.8,0.063768831,0.089983808
United Kingdom,2011,62820962,0.030345929,552232,21057,407,24.2,0.038130713,0.059459459
United States,2011,312390368,0.150901477,2515458,190048,476,51.7,0.075552047,0.108613445
Venezuela,2011,29427631,0.014215141,143020,27292,605.5,93.5,0.190826458,0.154417836
WORLD - reporting countries,2011,2070161105,1,17069031,1324153,39426.5,3376.9,0.077576343,0.093899331
Argentina,2012,42095224,0.022358734,317144,20039,579.1,45.2,0.063185808,0.07805215
Armenia,2012,3024127,0.001606255,27600,1360,698.7,39.3,0.049275362,0.056247316
Bahrain,2012,1333577,0.000708325,2613,197,518.2,15,0.075392269,0.028946353
Brazil,2012,202401584,0.10750491,1181166,152084,634,73.4,0.128757516,0.115772871
Colombia,2012,46881018,0.024900693,199756,30746,496.4,64.5,0.15391778,0.129935536
Croatia,2012,4267558,0.002266699,51710,2951,573.3,44.1,0.057068265,0.076923077
Egypt,2012,85660902,0.045498496,529233,18735,839.2,22.5,0.035400287,0.026811249
El Salvador,2012,6072233,0.003225246,32122,4579,564.5,77.6,0.142550277,0.137466785
Estonia,2012,1329302,0.000706054,15473,1179,579.6,72.9,0.076197247,0.125776398
Germany,2012,81917349,0.04351012,869582,32931,412.9,23.1,0.037869919,0.05594575
Guatemala,2012,15368759,0.008163064,72657,12322,672.5,94.9,0.169591368,0.141115242
Hungary,2012,9920362,0.005269166,129440,6519,664.7,44,0.050363103,0.066195276
Israel,2012,7910525,0.004201648,41877,1801,370.5,19.6,0.043006901,0.052901484
Italy,2012,59539725,0.031624322,613520,23775,364.8,21.1,0.038751793,0.057839912
Japan,2012,125958000,0.066902161,1256359,73469,322.5,32.4,0.058477712,0.100465116
Kazakhstan,2012,16791428,0.00891871,142880,16497,943,96.8,0.115460526,0.102651113
Kyrgyzstan,2012,5607511,0.00297841,36186,3475,914.1,68.9,0.096031614,0.075374685
Latvia,2012,2034319,0.001080522,29049,1888,706,72.6,0.064993631,0.102832861
Lithuania,2012,2987773,0.001586945,40938,3659,695.8,96.8,0.089379061,0.139120437
Mexico,2012,122070963,0.064837575,587826,70458,565,58.4,0.119862,0.103362832
Netherlands,2012,16754962,0.008899341,140813,6337,402.4,23.3,0.045002947,0.057902584
Moldova,2012,3559519,0.001890626,39560,3085,883.9,75.8,0.077982811,0.085756307
Singapore,2012,3818200,0.002028024,17273,781,351.6,17.1,0.045215076,0.048634812
South Africa,2012,52837274,0.028064338,491100,48127,1175.2,95.3,0.097998371,0.08109258
Spain,2012,46766399,0.024839813,402950,14005,360,18.6,0.034756173,0.051666667
Sweden,2012,9519375,0.005056184,91990,4681,381.6,30.3,0.050885966,0.079402516
Turkey,2012,75175827,0.039929384,320967,13173,457.1,17.9,0.041041602,0.039159921
Ukraine,2012,45412987,0.024120953,663139,41713,853.4,76.4,0.062902348,0.089524256
United Kingdom,2012,63705030,0.033836709,569024,20784,408.9,23.4,0.0365257,0.057226706
United States,2012,314799465,0.167204661,2543279,192988,471.1,51.8,0.075881569,0.109955423
Venezuela,2012,29854238,0.015856977,148087,30308,603.5,101.6,0.204663475,0.168351284
WORLD - reporting countries,2012,1882719440,1,14321087,1042154,34175.8,2787,0.072770593,0.085458008
Argentina,2013,42538304,0.027364708,323327,20671,578.2,46.1,0.06393218,0.079730197
Bahrain,2013,1349427,0.000868081,2569,190,482,14,0.073958739,0.029045643
Brazil,2013,204259377,0.131399177,1210474,151646,626.5,72.2,0.125278197,0.115243416
Croatia,2013,4255689,0.002737666,50386,2758,548.1,40.4,0.054737427,0.073709177
Egypt,2013,87613909,0.05636165,511183,21337,791.1,25.1,0.041740433,0.031727974
